temperature,humidity,soil_moisture,aqi_sensor,pump_state
47.43,41.44,DRY,173.24,ON
51.26,85.08,DRY,39.3,ON
42.28,67.05,WET,164.52,OFF
13.96,61.36,WET,383.05,OFF
28.39,8.17,WET,308.63,ON
36.81,68.3,DRY,935.13,ON
39.35,18.28,DRY,613.7,ON
54.39,3.32,DRY,152.15,ON
43.99,47.84,WET,135.69,OFF
42.85,10.33,WET,129.07,OFF
25.83,7.74,DRY,613.7,ON
0.7,51.7,WET,436.19,OFF
12.3,17.87,DRY,298.29,ON
37.93,86.17,WET,941.15,OFF
34.02,29.58,WET,400.41,OFF
18.52,74.06,WET,976.62,OFF
39.91,29.08,DRY,767.76,ON
57.83,89.01,WET,103.52,ON
35.58,20.27,DRY,394.72,ON
32.08,73.85,WET,85.61,OFF
10.79,93.35,WET,274.73,OFF
55.58,90.2,WET,721.5,ON
15.25,83.49,DRY,262.99,ON
17.86,27.23,WET,922.61,OFF
13.4,38.57,WET,405.28,OFF
30.47,50.72,DRY,898.55,ON
15.75,39.39,WET,670.58,OFF
8.46,83.95,DRY,61.5,ON
0.27,84.67,WET,216.82,OFF
41.36,55.0,WET,183.06,OFF
40.94,69.71,WET,546.92,OFF
55.74,35.7,WET,993.71,ON
27.67,54.57,DRY,807.94,ON
38.02,76.92,DRY,678.24,ON
46.83,14.1,DRY,648.98,ON
52.22,34.4,DRY,375.94,ON
33.53,11.66,WET,206.81,OFF
15.36,53.36,WET,923.56,OFF
18.02,87.22,WET,884.64,OFF
43.86,78.56,DRY,988.95,ON
51.26,89.75,WET,584.44,ON
50.32,46.47,DRY,730.59,ON
34.74,81.85,DRY,37.49,ON
23.82,13.7,WET,831.22,OFF
19.53,57.71,DRY,567.65,ON
25.87,48.61,WET,199.42,OFF
34.74,74.12,WET,211.85,OFF
37.41,98.91,DRY,176.59,ON
45.7,15.08,DRY,216.0,ON
0.78,38.5,WET,470.35,OFF
54.6,1.93,DRY,255.33,ON
26.95,19.14,WET,879.2,OFF
36.77,23.32,DRY,914.72,ON
8.89,79.63,DRY,124.61,ON
52.29,39.64,WET,576.39,ON
45.03,86.6,WET,419.73,OFF
43.73,50.79,WET,155.96,OFF
40.9,35.52,DRY,935.23,ON
13.02,64.69,DRY,364.77,ON
37.04,44.82,WET,576.51,OFF
39.6,82.88,WET,171.48,OFF
45.91,49.18,DRY,600.14,ON
24.28,68.39,DRY,940.24,ON
57.98,28.84,DRY,294.92,ON
22.96,23.54,DRY,527.68,ON
42.92,94.03,WET,458.82,OFF
16.64,30.1,DRY,296.83,ON
57.06,53.0,DRY,248.49,ON
15.5,49.24,DRY,629.32,ON
4.16,62.4,DRY,225.04,ON
23.84,8.65,WET,481.28,ON
14.47,11.09,WET,279.78,OFF
28.16,72.16,DRY,965.98,ON
8.65,15.83,WET,490.33,OFF
1.72,33.09,WET,101.93,OFF
26.31,93.53,WET,45.29,OFF
19.69,20.88,WET,951.67,OFF
58.22,84.68,WET,460.39,ON
55.35,36.39,DRY,586.45,ON
2.73,36.05,DRY,363.49,ON
27.9,91.34,DRY,383.65,ON
6.87,69.99,WET,151.58,OFF
32.8,50.88,DRY,964.89,ON
34.03,56.87,DRY,336.13,ON
44.56,49.38,DRY,300.42,ON
7.78,94.17,WET,479.45,OFF
19.78,37.24,WET,16.75,OFF
12.95,53.03,DRY,987.53,ON
42.13,93.67,DRY,56.42,ON
41.89,2.31,DRY,649.11,ON
48.1,13.99,WET,318.8,OFF
55.42,26.74,DRY,558.37,ON
11.39,96.83,DRY,70.26,ON
20.36,70.74,WET,456.27,OFF
54.58,87.77,WET,976.37,ON
4.42,21.64,DRY,669.71,ON
0.29,24.78,DRY,885.99,ON
7.63,77.82,DRY,43.89,ON
29.86,28.97,WET,591.5,OFF
9.22,29.53,DRY,561.46,ON
59.22,59.73,WET,787.07,ON
7.66,24.61,DRY,797.34,ON
22.92,11.13,WET,934.33,OFF
31.7,4.5,WET,722.94,ON
43.61,32.29,WET,841.75,OFF
43.58,20.08,WET,472.02,OFF
19.44,42.15,DRY,452.66,ON
26.42,59.59,DRY,411.95,ON
52.76,9.6,DRY,538.44,ON
30.82,19.0,DRY,14.89,ON
54.74,88.13,WET,905.47,ON
6.84,97.52,WET,493.89,OFF
41.2,91.87,DRY,761.86,ON
38.91,58.26,DRY,935.96,ON
12.73,20.99,WET,661.4,OFF
18.95,96.28,DRY,372.93,ON
19.0,3.17,DRY,211.14,ON
27.81,69.6,DRY,723.63,ON
29.29,65.79,DRY,648.98,ON
37.59,6.08,DRY,437.06,ON
2.68,15.82,WET,447.24,OFF
30.39,14.63,WET,278.65,OFF
29.61,13.91,DRY,202.54,ON
51.89,33.85,WET,732.34,ON
16.75,7.07,WET,415.89,ON
48.41,8.91,WET,982.25,ON
46.31,37.78,DRY,519.22,ON
7.97,32.89,DRY,124.92,ON
29.56,37.37,DRY,173.43,ON
47.23,60.26,WET,396.1,OFF
56.09,34.48,DRY,306.34,ON
19.53,54.93,DRY,437.79,ON
48.21,9.41,WET,104.88,ON
13.64,23.36,DRY,832.81,ON
11.26,71.64,DRY,533.66,ON
52.77,74.8,DRY,306.99,ON
25.03,62.01,DRY,311.25,ON
31.01,38.01,WET,829.05,OFF
19.31,6.75,WET,355.55,ON
38.76,55.66,DRY,598.04,ON
6.8,96.36,WET,473.44,OFF
37.39,56.71,DRY,373.1,ON
46.12,91.24,WET,910.01,OFF
20.32,84.66,DRY,159.82,ON
28.92,52.86,DRY,754.45,ON
18.01,41.04,DRY,443.29,ON
14.43,68.78,WET,970.17,OFF
59.17,53.51,WET,550.39,ON
19.47,35.01,WET,914.99,OFF
14.58,19.44,WET,911.61,OFF
50.9,73.84,WET,805.28,ON
20.3,36.6,WET,409.81,OFF
49.04,61.52,WET,402.76,ON
0.97,68.01,DRY,33.73,ON
39.97,46.39,DRY,833.64,ON
26.96,88.09,DRY,247.7,ON
27.65,31.91,DRY,840.59,ON
46.75,99.41,DRY,80.95,ON
22.48,15.67,WET,75.35,OFF
21.28,96.4,DRY,648.01,ON
7.85,44.98,DRY,789.28,ON
14.69,51.85,DRY,681.15,ON
55.9,51.92,WET,656.92,ON
18.96,54.56,WET,56.11,OFF
38.46,33.18,WET,352.27,OFF
37.77,73.13,DRY,906.93,ON
12.71,79.36,DRY,502.72,ON
47.27,23.08,DRY,699.24,ON
10.11,83.3,DRY,111.08,ON
36.84,93.91,DRY,953.71,ON
3.15,60.35,DRY,921.36,ON
12.46,26.07,WET,893.06,OFF
47.24,95.77,DRY,579.26,ON
28.06,55.27,WET,596.56,OFF
46.44,23.97,DRY,578.56,ON
6.37,74.09,WET,341.09,OFF
27.79,76.54,WET,68.17,OFF
51.5,37.97,DRY,319.05,ON
33.4,16.61,WET,95.52,OFF
56.98,39.0,WET,461.72,ON
14.73,58.0,WET,996.54,OFF
4.31,61.8,DRY,420.74,ON
6.24,63.6,WET,695.79,OFF
39.11,89.19,DRY,450.6,ON
20.83,56.08,DRY,129.23,ON
19.02,46.95,DRY,58.24,ON
22.21,91.28,WET,978.94,OFF
32.23,17.79,DRY,521.25,ON
23.68,84.24,WET,445.27,OFF
28.35,98.28,DRY,960.88,ON
34.44,67.97,WET,351.31,OFF
23.5,89.03,WET,223.52,OFF
35.25,26.71,DRY,611.61,ON
36.88,4.76,DRY,572.61,ON
34.3,38.2,DRY,881.98,ON
40.11,98.46,DRY,250.53,ON
43.43,70.46,WET,109.28,OFF
20.91,13.22,DRY,604.2,ON
32.79,76.99,DRY,165.41,ON
31.6,76.32,WET,984.63,OFF
45.52,86.58,WET,613.22,OFF
10.07,58.46,WET,744.5,OFF
1.59,50.38,DRY,718.84,ON
26.71,20.12,WET,129.23,OFF
39.05,95.58,WET,837.87,OFF
24.75,61.73,DRY,300.27,ON
40.62,90.14,WET,523.56,OFF
19.48,95.31,DRY,446.07,ON
51.67,15.16,DRY,268.49,ON
59.91,45.35,WET,642.79,ON
12.25,29.03,WET,163.38,OFF
49.58,74.45,DRY,175.82,ON
45.87,72.12,DRY,133.42,ON
29.71,77.15,DRY,638.16,ON
23.23,57.65,DRY,252.19,ON
16.2,1.24,WET,517.26,ON
40.62,22.61,DRY,377.62,ON
49.6,97.34,DRY,267.94,ON
16.13,72.57,DRY,28.5,ON
32.86,49.0,DRY,505.27,ON
14.17,24.65,DRY,243.73,ON
46.8,52.35,DRY,8.62,ON
25.65,56.94,DRY,142.93,ON
13.4,26.92,DRY,791.08,ON
21.1,74.42,DRY,782.04,ON
53.35,74.11,DRY,658.99,ON
50.14,75.01,WET,41.0,ON
16.24,64.17,WET,639.3,OFF
7.96,19.89,DRY,506.08,ON
20.02,2.45,DRY,719.49,ON
37.83,34.44,DRY,457.78,ON
27.57,43.81,DRY,303.73,ON
56.92,41.17,WET,304.8,ON
4.61,90.5,DRY,783.81,ON
38.03,7.58,WET,270.36,ON
35.24,29.67,DRY,221.14,ON
47.33,89.54,WET,158.36,OFF
52.77,0.14,DRY,550.75,ON
40.01,1.83,DRY,44.66,ON
31.6,22.89,DRY,714.57,ON
11.38,15.68,DRY,835.19,ON
21.39,72.36,DRY,38.59,ON
56.68,3.64,WET,771.45,ON
6.45,89.91,WET,434.78,OFF
17.75,3.43,DRY,55.6,ON
12.94,48.52,DRY,858.8,ON
46.18,18.65,WET,38.46,OFF
24.2,81.9,WET,175.78,OFF
44.91,52.19,DRY,688.89,ON
19.46,35.95,WET,134.89,OFF
15.48,48.33,WET,935.09,OFF
31.77,61.3,DRY,151.49,ON
4.45,82.75,DRY,925.58,ON
17.66,33.93,WET,621.41,OFF
50.51,88.39,DRY,939.68,ON
12.44,50.27,WET,750.27,OFF
58.31,32.23,WET,301.62,ON
6.02,7.68,DRY,440.46,ON
40.78,31.34,DRY,567.83,ON
59.86,13.65,DRY,363.14,ON
15.4,77.86,WET,172.91,OFF
11.06,94.08,DRY,440.68,ON
44.57,34.88,DRY,195.15,ON
49.18,73.67,DRY,142.58,ON
57.47,15.69,WET,133.36,ON
0.03,37.31,WET,673.94,OFF
43.69,51.39,DRY,708.65,ON
7.25,9.72,DRY,155.26,ON
58.26,65.34,DRY,406.8,ON
34.92,28.42,WET,435.19,OFF
13.67,47.07,WET,978.38,OFF
52.66,81.11,WET,905.84,ON
20.41,41.57,DRY,445.01,ON
24.28,13.58,DRY,123.88,ON
1.88,19.26,DRY,92.74,ON
47.39,73.64,WET,685.92,OFF
4.93,1.09,WET,128.8,ON
3.73,68.42,WET,103.44,OFF
54.04,99.98,WET,447.27,ON
29.26,22.04,WET,896.27,OFF
20.19,61.99,WET,605.77,OFF
11.69,23.42,WET,36.05,OFF
2.02,75.96,DRY,373.59,ON
26.46,56.92,WET,241.32,OFF
25.18,19.39,WET,966.18,OFF
34.84,96.37,WET,456.92,OFF
52.54,26.92,WET,594.52,ON
35.85,44.49,WET,897.8,OFF
31.15,75.11,DRY,797.46,ON
15.7,87.09,WET,211.54,OFF
16.63,27.78,WET,285.18,OFF
5.3,98.34,WET,833.23,OFF
6.85,0.74,WET,546.36,ON
53.97,99.59,DRY,242.87,ON
15.0,58.44,DRY,588.36,ON
14.19,63.21,WET,281.7,OFF
19.93,33.53,DRY,210.02,ON
49.64,96.05,DRY,360.48,ON
10.13,15.79,WET,130.04,OFF
28.82,65.1,WET,783.74,OFF
5.81,72.46,DRY,913.96,ON
24.79,66.09,DRY,168.44,ON
55.47,40.94,WET,975.84,ON
14.69,73.8,WET,79.17,OFF
13.49,75.3,DRY,554.12,ON
21.99,71.4,WET,207.2,OFF
40.63,32.99,DRY,272.93,ON
23.53,62.94,WET,192.34,OFF
29.89,56.15,DRY,414.81,ON
46.08,94.19,DRY,848.79,ON
20.56,25.56,DRY,268.67,ON
10.92,58.27,WET,25.2,OFF
34.7,20.91,WET,783.81,OFF
43.34,5.24,DRY,55.96,ON
2.38,88.16,WET,870.39,OFF
4.09,87.22,WET,222.61,OFF
35.56,26.1,DRY,813.72,ON
31.55,13.43,DRY,826.79,ON
13.3,80.02,WET,852.29,OFF
16.81,15.48,WET,223.43,OFF
11.55,8.67,DRY,359.9,ON
44.71,93.78,WET,182.29,OFF
36.77,60.04,DRY,589.59,ON
0.37,77.09,WET,87.16,OFF
12.85,76.18,WET,306.17,OFF
14.32,14.73,DRY,914.01,ON
58.55,8.61,DRY,738.13,ON
57.83,65.85,DRY,645.97,ON
53.43,89.3,DRY,900.08,ON
24.23,4.38,WET,43.3,ON
57.98,3.45,WET,152.47,ON
58.27,98.08,DRY,440.85,ON
51.33,90.43,DRY,283.41,ON
26.37,64.6,WET,669.09,OFF
28.41,4.07,WET,373.5,ON
6.55,23.96,DRY,831.24,ON
5.05,56.93,DRY,974.64,ON
38.79,82.56,WET,298.46,OFF
12.79,95.67,DRY,551.2,ON
40.36,7.57,DRY,637.28,ON
6.43,2.36,DRY,14.87,ON
52.03,21.32,DRY,851.77,ON
47.93,43.64,DRY,746.11,ON
59.8,69.3,WET,512.01,ON
2.52,79.51,DRY,203.12,ON
28.24,50.84,WET,607.7,OFF
37.13,6.13,WET,41.88,ON
25.14,93.22,WET,656.62,OFF
0.79,56.26,WET,95.25,OFF
6.95,43.06,DRY,177.36,ON
7.57,61.13,WET,952.6,OFF
22.03,8.66,DRY,610.53,ON
55.23,94.1,DRY,622.67,ON
21.7,66.07,DRY,384.39,ON
28.23,92.67,DRY,157.27,ON
40.72,12.11,DRY,104.99,ON
6.15,68.87,DRY,990.67,ON
46.46,33.5,WET,553.94,OFF
55.11,22.05,DRY,486.87,ON
33.2,4.07,WET,94.13,ON
11.74,86.5,WET,2.59,OFF
39.03,18.57,DRY,181.17,ON
45.19,66.35,DRY,156.42,ON
49.16,94.19,WET,191.03,ON
33.93,43.19,WET,157.28,OFF
8.88,12.25,DRY,7.92,ON
57.95,65.6,WET,666.39,ON
49.08,83.27,WET,731.27,ON
18.42,48.93,WET,906.56,OFF
44.16,50.31,WET,769.49,OFF
20.85,45.09,DRY,269.49,ON
8.75,50.98,WET,350.76,OFF
40.64,55.07,WET,835.6,OFF
34.68,66.45,DRY,17.68,ON
2.98,75.63,WET,525.31,OFF
16.83,88.28,WET,773.51,OFF
3.33,86.91,WET,748.55,OFF
32.64,23.51,WET,882.51,OFF
42.92,15.25,WET,905.52,OFF
22.2,18.65,DRY,402.84,ON
4.03,0.36,DRY,647.7,ON
40.06,45.22,WET,969.53,OFF
28.96,84.13,DRY,219.83,ON
46.75,2.95,WET,551.97,ON
56.71,13.14,WET,234.16,ON
40.58,79.39,DRY,474.68,ON
36.51,45.22,DRY,565.15,ON
21.62,68.61,WET,247.21,OFF
8.87,84.15,DRY,597.92,ON
13.83,91.66,WET,981.22,OFF
19.45,56.94,DRY,326.04,ON
32.84,20.61,WET,733.34,OFF
34.74,0.58,DRY,79.46,ON
5.95,95.94,DRY,679.66,ON
42.99,39.12,WET,387.23,OFF
30.51,8.48,WET,534.87,ON
38.06,56.82,DRY,140.82,ON
57.85,70.68,WET,443.31,ON
41.86,0.4,DRY,316.32,ON
5.97,71.33,WET,537.06,OFF
22.32,21.06,DRY,145.39,ON
38.8,78.42,WET,173.65,OFF
19.58,91.16,WET,912.93,OFF
19.08,22.26,WET,347.1,OFF
12.73,73.68,DRY,184.35,ON
54.55,41.57,WET,95.12,ON
37.92,2.82,DRY,32.42,ON
28.11,7.38,DRY,887.06,ON
32.92,22.15,WET,361.38,OFF
48.31,63.44,DRY,180.32,ON
39.26,6.7,DRY,666.77,ON
28.45,48.07,WET,265.78,OFF
53.25,81.15,DRY,587.47,ON
13.25,58.32,DRY,212.74,ON
49.04,98.41,WET,806.3,ON
41.59,76.47,DRY,352.32,ON
21.11,58.51,WET,151.32,OFF
4.66,50.62,WET,263.13,OFF
59.79,97.59,DRY,219.44,ON
1.6,98.94,DRY,605.74,ON
54.91,90.85,WET,613.37,ON
43.93,44.4,WET,599.42,OFF
2.04,69.21,WET,38.02,OFF
24.52,7.33,DRY,675.91,ON
17.85,36.66,DRY,881.28,ON
46.85,34.51,WET,893.35,OFF
17.4,72.41,WET,610.73,OFF
52.91,43.46,DRY,187.07,ON
24.85,58.52,WET,966.02,OFF
38.58,66.06,DRY,104.31,ON
24.35,80.03,DRY,948.29,ON
54.5,53.51,WET,64.79,ON
7.61,45.83,DRY,808.07,ON
22.9,2.13,WET,915.63,ON
12.69,30.03,DRY,650.96,ON
42.04,14.1,WET,846.0,OFF
23.87,83.55,WET,673.9,OFF
6.48,59.74,DRY,462.17,ON
10.37,45.59,DRY,65.58,ON
35.13,24.67,WET,335.11,OFF
8.31,63.53,DRY,269.98,ON
7.28,88.75,WET,776.14,OFF
31.77,47.57,WET,180.22,OFF
48.47,99.31,WET,513.37,OFF
21.97,19.19,DRY,149.02,ON
54.73,62.83,DRY,110.6,ON
2.18,21.18,DRY,237.57,ON
56.45,89.53,DRY,809.01,ON
45.03,89.25,WET,751.34,OFF
52.09,34.04,DRY,497.4,ON
46.35,48.58,WET,521.07,OFF
40.46,9.03,WET,27.67,ON
36.11,65.29,DRY,443.14,ON
57.12,62.08,DRY,394.86,ON
21.7,10.47,DRY,466.94,ON
23.31,52.57,WET,507.62,OFF
58.49,21.02,DRY,984.68,ON
25.36,28.22,WET,193.87,OFF
19.7,30.58,WET,573.9,OFF
28.02,57.43,DRY,567.31,ON
15.92,57.08,WET,186.36,OFF
9.64,41.58,WET,318.23,OFF
33.34,62.88,DRY,886.06,ON
3.19,73.96,WET,890.4,OFF
34.27,61.45,DRY,846.2,ON
20.95,65.13,DRY,260.15,ON
2.86,68.55,DRY,16.99,ON
16.97,1.59,WET,397.09,ON
56.58,83.04,DRY,383.11,ON
15.02,76.93,WET,694.29,OFF
48.65,96.43,WET,956.92,OFF
14.02,8.84,DRY,755.17,ON
4.3,65.08,DRY,256.03,ON
10.04,53.19,WET,22.99,OFF
41.05,26.39,WET,677.43,OFF
47.57,39.84,WET,448.14,OFF
18.21,89.12,DRY,153.57,ON
43.45,52.13,DRY,883.26,ON
4.1,22.07,DRY,311.51,ON
28.68,16.03,DRY,456.23,ON
54.36,29.26,DRY,614.55,ON
30.37,28.75,DRY,269.31,ON
53.05,90.08,DRY,984.07,ON
32.69,51.76,WET,567.26,OFF
50.05,0.5,WET,64.35,ON
47.41,32.02,DRY,414.88,ON
41.03,25.58,WET,430.61,OFF
2.76,33.2,DRY,211.11,ON
47.98,61.65,WET,213.79,OFF
36.6,3.88,DRY,101.41,ON
14.1,50.34,WET,630.88,OFF
0.71,14.74,DRY,665.3,ON
53.28,31.55,WET,285.41,ON
22.59,65.3,DRY,536.76,ON
39.47,32.43,WET,925.01,OFF
50.08,17.39,DRY,351.1,ON
28.56,95.6,WET,783.19,OFF
27.73,56.81,DRY,193.52,ON
16.44,49.83,WET,113.92,OFF
23.76,70.82,DRY,708.2,ON
37.49,99.52,DRY,268.94,ON
34.47,47.48,WET,690.93,OFF
1.36,80.18,WET,779.38,OFF
5.53,35.42,WET,899.57,OFF
50.33,57.53,WET,439.46,ON
43.83,83.83,WET,942.78,OFF
27.09,78.77,DRY,515.4,ON
46.49,53.83,WET,808.98,OFF
18.4,54.45,DRY,351.76,ON
47.39,8.26,WET,131.76,ON
33.4,67.24,DRY,19.53,ON
36.86,99.3,WET,143.16,OFF
52.95,94.82,WET,213.35,ON
44.99,13.97,WET,189.69,OFF
52.89,51.77,WET,595.92,ON
57.17,24.99,WET,52.59,ON
16.19,2.25,DRY,314.58,ON
12.34,84.11,DRY,576.48,ON
37.72,92.84,WET,950.01,OFF
6.84,55.09,DRY,406.82,ON
55.24,50.84,DRY,858.24,ON
18.36,99.27,WET,575.46,OFF
55.75,20.43,DRY,871.68,ON
4.55,58.98,DRY,243.46,ON
54.31,47.92,WET,601.53,ON
44.92,68.54,WET,92.26,OFF
32.0,28.4,DRY,621.63,ON
47.5,59.35,WET,434.84,OFF
8.0,63.77,DRY,925.13,ON
32.41,50.54,WET,357.77,OFF
45.64,36.1,DRY,634.47,ON
57.02,71.35,WET,536.75,ON
4.8,59.6,WET,329.23,OFF
11.3,71.84,WET,27.57,OFF
44.48,69.49,DRY,767.48,ON
57.9,75.94,DRY,242.22,ON
47.56,25.4,DRY,988.83,ON
37.22,55.53,DRY,776.75,ON
29.32,40.19,DRY,265.77,ON
23.92,39.58,DRY,142.4,ON
1.7,73.32,DRY,859.43,ON
30.61,10.45,DRY,606.82,ON
2.64,73.99,DRY,792.18,ON
52.98,4.05,WET,346.99,ON
30.76,5.59,DRY,613.49,ON
47.31,68.42,WET,660.32,OFF
51.38,16.24,DRY,155.95,ON
44.91,46.43,DRY,473.82,ON
49.6,59.22,DRY,865.48,ON
36.22,50.0,DRY,372.27,ON
22.65,51.0,WET,389.4,OFF
37.06,22.25,WET,587.82,OFF
32.79,90.38,WET,472.57,OFF
43.17,42.98,DRY,101.34,ON
13.34,30.72,WET,489.81,OFF
15.37,68.58,WET,24.92,OFF
2.33,46.75,WET,70.9,OFF
46.19,31.15,WET,67.36,OFF
43.64,24.16,WET,560.27,OFF
26.53,99.25,WET,635.8,OFF
49.11,78.79,WET,21.45,ON
52.64,72.76,DRY,772.73,ON
45.08,44.89,DRY,48.04,ON
51.25,86.48,WET,294.58,ON
3.0,25.34,WET,821.67,OFF
11.96,0.93,WET,786.73,ON
51.94,38.37,WET,729.94,ON
8.72,1.68,WET,731.5,ON
2.0,6.02,DRY,709.83,ON
28.77,59.44,DRY,109.69,ON
13.21,48.95,DRY,743.23,ON
23.84,93.54,WET,97.9,OFF
38.85,58.76,WET,442.7,OFF
33.63,96.34,WET,107.29,OFF
29.11,96.61,WET,659.65,OFF
38.59,99.67,WET,645.38,OFF
33.17,19.75,WET,173.35,OFF
56.36,94.47,WET,487.72,ON
18.55,32.99,DRY,9.25,ON
47.97,55.87,DRY,480.12,ON
38.12,2.07,WET,41.02,ON
24.53,12.44,DRY,932.49,ON
59.24,13.37,DRY,659.84,ON
21.28,47.37,WET,164.24,OFF
17.97,19.61,WET,225.52,OFF
12.8,85.07,DRY,152.8,ON
56.03,81.91,WET,661.86,ON
31.0,2.47,WET,197.67,ON
30.62,13.22,WET,433.93,OFF
20.84,24.57,WET,754.28,OFF
50.58,35.63,WET,151.3,ON
48.38,82.82,WET,64.33,OFF
12.15,17.81,DRY,126.19,ON
4.94,79.42,WET,429.22,OFF
23.32,43.68,WET,872.75,OFF
58.66,85.84,DRY,201.1,ON
53.03,34.31,WET,952.33,ON
21.43,57.15,WET,235.97,OFF
16.04,65.49,DRY,836.86,ON
53.59,69.12,WET,908.61,ON
27.91,81.82,DRY,220.38,ON
21.44,46.26,WET,663.09,OFF
44.63,20.73,DRY,59.36,ON
35.82,96.4,DRY,28.41,ON
40.44,47.53,DRY,862.73,ON
2.05,40.58,DRY,193.4,ON
20.98,53.58,WET,258.68,OFF
58.75,90.03,WET,36.13,ON
15.92,60.65,DRY,905.98,ON
36.13,74.57,DRY,23.5,ON
46.8,42.25,DRY,509.3,ON
2.2,68.02,DRY,815.42,ON
28.93,86.13,WET,589.1,OFF
0.28,82.28,WET,841.38,OFF
35.29,66.3,DRY,25.39,ON
0.17,77.6,DRY,951.43,ON
7.29,63.01,WET,520.36,OFF
32.56,59.02,DRY,226.41,ON
35.78,50.62,WET,118.47,OFF
36.48,98.44,DRY,118.43,ON
0.49,86.71,DRY,943.45,ON
37.83,87.47,DRY,550.33,ON
26.68,79.56,WET,293.04,OFF
38.17,68.14,WET,170.61,OFF
46.16,48.1,DRY,114.9,ON
1.3,4.3,WET,4.4,ON
26.46,68.14,DRY,596.12,ON
45.44,9.74,DRY,894.15,ON
28.02,30.78,DRY,958.98,ON
15.54,15.65,WET,267.82,OFF
29.55,57.21,DRY,844.94,ON
31.34,4.61,WET,302.79,ON
36.54,19.93,DRY,478.27,ON
18.14,56.94,DRY,89.86,ON
10.51,11.46,DRY,738.22,ON
9.22,43.34,WET,57.45,OFF
0.79,36.19,WET,630.32,OFF
14.62,57.39,WET,692.77,OFF
25.34,2.1,DRY,419.11,ON
26.94,2.7,WET,293.65,ON
3.82,73.65,DRY,108.94,ON
43.77,77.67,DRY,805.68,ON
39.89,69.73,WET,75.37,OFF
47.0,38.26,WET,993.02,OFF
43.78,55.43,WET,150.92,OFF
33.65,18.01,DRY,925.39,ON
24.43,77.86,DRY,687.81,ON
48.32,92.47,DRY,816.89,ON
52.85,2.94,DRY,709.54,ON
43.04,33.92,DRY,668.22,ON
10.68,48.0,DRY,914.88,ON
32.31,55.73,DRY,103.33,ON
32.27,12.43,WET,840.48,OFF
54.64,30.19,WET,376.6,ON
55.09,12.3,WET,27.4,ON
53.55,58.22,DRY,265.58,ON
40.94,90.86,DRY,138.54,ON
45.21,81.64,WET,936.86,OFF
24.93,11.76,WET,428.45,OFF
25.99,10.83,DRY,758.35,ON
20.21,59.96,WET,338.64,OFF
22.54,68.57,DRY,831.14,ON
18.94,3.23,WET,942.77,ON
23.01,13.24,DRY,874.66,ON
37.92,72.91,DRY,290.31,ON
34.92,35.06,WET,707.78,OFF
6.1,22.2,DRY,885.44,ON
57.25,67.12,DRY,213.02,ON
23.9,99.3,WET,718.9,OFF
43.79,72.7,WET,888.2,OFF
47.9,42.89,WET,946.85,OFF
8.44,94.7,WET,973.02,OFF
58.88,88.6,WET,509.23,ON
58.23,29.66,WET,215.55,ON
14.88,80.49,DRY,125.59,ON
18.62,57.49,WET,615.94,OFF
14.48,15.79,WET,941.81,OFF
35.16,94.89,DRY,234.5,ON
57.02,31.87,WET,417.82,ON
29.88,21.46,DRY,370.71,ON
15.42,48.19,WET,48.69,OFF
9.66,1.55,DRY,851.53,ON
28.52,25.64,WET,288.49,OFF
3.11,16.64,DRY,852.05,ON
10.78,81.28,DRY,687.35,ON
57.06,88.93,DRY,534.9,ON
4.49,81.58,DRY,354.32,ON
52.29,28.68,DRY,66.17,ON
2.5,1.21,DRY,215.31,ON
38.07,21.88,WET,350.87,OFF
14.27,41.18,DRY,94.47,ON
28.19,99.51,WET,516.6,OFF
14.64,29.81,WET,498.49,OFF
29.35,66.65,WET,267.75,OFF
29.87,69.32,WET,411.13,OFF
6.61,45.41,WET,230.25,OFF
34.23,39.45,DRY,680.67,ON
14.18,4.7,WET,940.8,ON
46.8,26.58,DRY,550.4,ON
29.63,41.38,WET,58.44,OFF
47.98,90.7,WET,768.01,OFF
49.4,59.3,DRY,789.36,ON
34.96,37.29,DRY,63.71,ON
9.89,99.76,WET,766.26,OFF
4.61,0.36,DRY,474.77,ON
42.3,28.94,DRY,394.35,ON
49.02,79.53,DRY,926.68,ON
26.27,0.42,WET,721.98,ON
19.43,28.61,WET,51.91,OFF
30.25,23.03,WET,603.36,OFF
18.32,14.4,WET,711.14,OFF
39.62,80.68,WET,456.37,OFF
57.42,67.98,DRY,888.24,ON
40.08,17.83,WET,914.49,OFF
30.23,84.5,DRY,215.31,ON
50.73,30.71,WET,122.0,ON
10.1,41.56,DRY,770.24,ON
11.32,41.0,WET,751.64,OFF
33.47,97.64,DRY,173.4,ON
23.0,13.2,WET,848.66,OFF
59.51,21.87,WET,414.95,ON
55.43,24.44,DRY,459.67,ON
29.02,76.81,WET,595.08,OFF
0.53,58.33,DRY,914.3,ON
16.59,79.88,WET,87.63,OFF
24.35,75.63,DRY,452.26,ON
26.97,52.64,WET,203.57,OFF
22.51,84.06,DRY,640.24,ON
23.97,42.3,WET,947.99,OFF
48.67,85.53,DRY,762.4,ON
53.63,74.22,WET,757.0,ON
27.71,63.38,DRY,600.53,ON
41.09,35.52,DRY,396.23,ON
3.56,43.61,WET,69.33,OFF
15.22,1.3,WET,742.25,ON
19.88,51.23,DRY,507.27,ON
25.64,98.01,WET,68.54,OFF
51.45,31.73,WET,858.31,ON
3.61,30.55,WET,514.22,OFF
40.58,5.91,DRY,559.2,ON
